Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2023-07-28,4582.23,4852.0,4600.684460547945,251.31553945205542
2023-07-27,4537.41,4808.0,4556.056890410959,251.94310958904134
2023-07-26,4566.75,4838.0,4585.892815068493,252.1071849315067
2023-07-25,4567.46,4838.0,4586.981198904109,251.01880109589092
2023-07-24,4554.64,4825.0,4574.4807605479455,250.51923945205453
2023-07-21,4536.34,4797.0,4557.219592328767,239.78040767123275
2023-07-20,4534.87,4797.0,4556.115555342466,240.884444657534
2023-07-19,4565.72,4828.0,4587.485350136986,240.5146498630138
2023-07-18,4554.98,4818.0,4577.068533150685,240.93146684931526
2023-07-17,4522.79,4783.0,4545.094169863013,237.90583013698688
2023-07-14,4505.42,4766.75,4528.749435068494,238.00056493150623
2023-07-13,4510.04,4770.0,4533.764046027397,236.23595397260306
2023-07-12,4472.16,4740.0,4496.052361643836,243.94763835616413
2023-07-11,4439.26,4705.0,4463.341465205479,241.65853479452107
2023-07-10,4409.53,4675.0,4433.812617260273,241.18738273972667
2023-07-07,4398.95,4666.0,4424.25902739726,241.74097260273993
2023-07-06,4411.59,4679.0,4437.334347123287,241.66565287671256
2023-07-05,4446.82,4716.0,4473.135427945204,242.86457205479564
2023-07-03,4455.59,4725.0,4482.689752876712,242.3102471232878
2023-06-30,4450.38,4720.0,4478.545418630137,241.45458136986326
2023-06-29,4396.44,4664.75,4424.625396164383,240.12460383561665
2023-06-28,4376.86,4638.0,4405.279611506849,232.7203884931514
2023-06-27,4378.41,4638.0,4407.19954520548,230.8004547945202
2023-06-26,4328.82,4583.5,4357.63926739726,225.86073260274043
2023-06-23,4348.33,4603.0,4378.351346849316,224.64865315068437
2023-06-22,4381.89,4639.0,4412.503204109589,226.4967958904108
2023-06-21,4365.69,4624.0,4396.548849863014,227.45115013698614
2023-06-20,4388.71,4650.0,4420.092282465754,229.90771753424633
2023-06-16,4409.59,4669.0,4409.59,259.40999999999985
2023-06-15,4425.84,4681.0,4426.203767671233,254.79623232876656
2023-06-14,4372.59,4627.0,4373.308781917808,253.69121808219188
2023-06-13,4369.01,4624.0,4370.087290136987,253.91270986301333
2023-06-12,4338.93,4584.0,4340.356497534247,243.64350246575304
2023-06-09,4298.86,4545.0,4301.333316712329,243.66668328767082
2023-06-08,4293.93,4533.0,4296.753406027397,236.24659397260257
2023-06-07,4267.52,4508.0,4270.676795616439,237.32320438356055
2023-06-06,4283.85,4521.0,4287.37097260274,233.62902739725996
2023-06-05,4273.79,4512.0,4277.653974520548,234.34602547945178
2023-06-02,4282.37,4519.5,4287.2976586301365,232.20234136986346
2023-06-01,4221.02,4444.0,4226.223997260275,217.7760027397253
2023-05-31,4179.83,4408.0,4185.326762739726,222.6732372602737
2023-05-30,4205.52,4441.0,4211.396206027398,229.60379397260203
2023-05-26,4205.45,4440.0,4212.708721917808,227.29127808219164
2023-05-25,4151.28,4376.0,4158.786424109589,217.21357589041145
2023-05-24,4115.24,4336.0,4123.019494794521,212.98050520547895
2023-05-23,4145.58,4368.0,4153.757582465753,214.24241753424667
2023-05-22,4192.63,4408.0,4201.244993150685,206.75500684931467
2023-05-19,4191.98,4406.0,4201.627296438355,204.3727035616448
2023-05-18,4198.05,4408.0,4208.056310958905,199.94368904109524
2023-05-17,4158.77,4357.0,4169.024501369863,187.97549863013683
2023-05-16,4109.9,4305.0,4120.3718,184.6282000000001
2023-05-15,4136.28,4330.0,4147.158983013698,182.84101698630184
2023-05-12,4124.08,4318.0,4135.943791780822,182.0562082191782
2023-05-11,4130.62,4322.0,4142.842108493151,179.1578915068494
